Session Number, Operation, Start Timestamp, End Timestamp, Date 1, Date 2, Days, Weeks, Months, Phrase, Result of Operation, Error
7,N.A,27-8-2020 20:35:50,27-8-2020 20:35:50,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
7,Get date from string,27-8-2020 20:35:50,27-8-2020 20:35:51,N.A,N.A,N.A,N.A,N.A,N.A,473 WEEKS EARLIER,4-8-2011,N.A
7,N.A,27-8-2020 20:35:51,27-8-2020 20:35:51,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
7,Add years to date,27-8-2020 20:35:51,27-8-2020 20:35:51,3-9-1720,N.A,N.A,N.A,N.A,335,N.A,3-9-2055,N.A
7,Get date from string,27-8-2020 20:35:51,27-8-2020 20:35:51,N.A,N.A,N.A,N.A,N.A,N.A,PREVIOUS MONTH,27-7-2020,N.A
7,N.A,27-8-2020 20:35:51,27-8-2020 20:35:51,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
7,Get week number,27-8-2020 20:35:51,27-8-2020 20:35:51,8-6-2559,N.A,N.A,N.A,N.A,N.A,N.A,23,N.A
7,N.A,27-8-2020 20:35:51,27-8-2020 20:35:51,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
7,Get week number,27-8-2020 20:35:52,27-8-2020 20:35:52,16-8-2738,N.A,N.A,N.A,N.A,N.A,N.A,34,N.A
7,Subtract years from date,27-8-2020 20:35:52,27-8-2020 20:35:52,4-13-2186,N.A,N.A,N.A,N.A,493,N.A,4-1-1694,N.A
7,Exit Session,27-8-2020 20:35:52,27-8-2020 20:35:52,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
8,N.A,27-8-2020 20:35:52,27-8-2020 20:35:52,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
8,Get day of the week,27-8-2020 20:35:52,27-8-2020 20:35:52,26-13-1058,N.A,N.A,N.A,N.A,N.A,N.A,Tuesday,N.A
8,Subtract weeks from date,27-8-2020 20:35:52,27-8-2020 20:35:53,2-6-1570,N.A,N.A,347,N.A,N.A,N.A,8-10-1563,N.A
8,Subtact two dates,27-8-2020 20:35:53,27-8-2020 20:35:53,24-6-2906,9-3-2291,N.A,N.A,N.A,N.A,N.A,Days: 224731	Weeks: 32104	Months: 7383,N.A
8,Get day of the week,27-8-2020 20:35:53,27-8-2020 20:35:53,4-11-2429,N.A,N.A,N.A,N.A,N.A,N.A,Sunday,N.A
8,Get date from string,27-8-2020 20:35:53,27-8-2020 20:35:53,N.A,N.A,N.A,N.A,N.A,N.A,PREVIOUS WEEK,20-8-2020,N.A
8,Add days to date,27-8-2020 20:35:53,27-8-2020 20:35:54,26-3-1937,N.A,122,N.A,N.A,N.A,N.A,26-7-1937,N.A
8,Subtact two dates,27-8-2020 20:35:54,27-8-2020 20:35:54,15-9-2886,25-7-2500,N.A,N.A,N.A,N.A,N.A,Days: 141036	Weeks: 20148	Months: 4633,N.A
8,Subtact two dates,27-8-2020 20:35:54,27-8-2020 20:35:54,32-1-2174,21-5-1788,N.A,N.A,N.A,N.A,N.A,Days: 140874	Weeks: 20124	Months: 4628,N.A
8,Subtract weeks from date,27-8-2020 20:35:54,27-8-2020 20:35:54,25-4-2087,N.A,N.A,230,N.A,N.A,N.A,27-11-2082,N.A
8,Exit Session,27-8-2020 20:35:54,27-8-2020 20:35:54,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
9,Add days to date,27-8-2020 20:35:54,27-8-2020 20:35:54,21-9-1475,N.A,492,N.A,N.A,N.A,N.A,25-1-1477,N.A
9,Add weeks to date,27-8-2020 20:35:54,27-8-2020 20:35:54,16-8-1902,N.A,N.A,159,N.A,N.A,N.A,2-9-1905,N.A
9,Get day of the week,27-8-2020 20:35:54,27-8-2020 20:35:54,8-12-1021,N.A,N.A,N.A,N.A,N.A,N.A,Friday,N.A
9,Subtract weeks from date,27-8-2020 20:35:54,27-8-2020 20:35:54,28-3-2068,N.A,N.A,428,N.A,N.A,N.A,14-1-2060,N.A
9,Subtract weeks from date,27-8-2020 20:35:54,27-8-2020 20:35:54,30-12-1461,N.A,N.A,124,N.A,N.A,N.A,15-8-1459,N.A
9,Subtract weeks from date,27-8-2020 20:35:54,27-8-2020 20:35:54,27-4-1069,N.A,N.A,165,N.A,N.A,N.A,27-2-1066,N.A
9,Add weeks to date,27-8-2020 20:35:54,27-8-2020 20:35:54,9-12-1212,N.A,N.A,241,N.A,N.A,N.A,23-7-1217,N.A
9,Get date from string,27-8-2020 20:35:54,27-8-2020 20:35:54,N.A,N.A,N.A,N.A,N.A,N.A,LAST MONTH,27-7-2020,N.A
9,Get day of the week,27-8-2020 20:35:54,27-8-2020 20:35:54,13-12-2449,N.A,N.A,N.A,N.A,N.A,N.A,Monday,N.A
9,N.A,27-8-2020 20:35:54,27-8-2020 20:35:54,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
9,Exit Session,27-8-2020 20:35:54,27-8-2020 20:35:54,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
10,Add days to date,27-8-2020 20:35:54,27-8-2020 20:35:54,15-2-1957,N.A,6,N.A,N.A,N.A,N.A,21-2-1957,N.A
10,Get date from string,27-8-2020 20:35:54,27-8-2020 20:35:54,N.A,N.A,N.A,N.A,N.A,N.A,PREVIOUS WEEK,20-8-2020,N.A
10,Add months to date,27-8-2020 20:35:54,27-8-2020 20:35:54,12-13-2858,N.A,N.A,N.A,178,N.A,N.A,12-11-2873,N.A
10,Get week number,27-8-2020 20:35:55,27-8-2020 20:35:55,18-5-1444,N.A,N.A,N.A,N.A,N.A,N.A,21,N.A
10,Subtract years from date,27-8-2020 20:35:55,27-8-2020 20:35:55,21-1-1674,N.A,N.A,N.A,N.A,197,N.A,21-1-1477,N.A
10,Add weeks to date,27-8-2020 20:35:55,27-8-2020 20:35:55,3-12-2839,N.A,N.A,281,N.A,N.A,N.A,22-4-2845,N.A
10,N.A,27-8-2020 20:35:55,27-8-2020 20:35:55,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
10,Add years to date,27-8-2020 20:35:55,27-8-2020 20:35:55,6-3-2505,N.A,N.A,N.A,N.A,106,N.A,6-3-2611,N.A
10,Subtract years from date,27-8-2020 20:35:55,27-8-2020 20:35:55,28-11-2123,N.A,N.A,N.A,N.A,180,N.A,28-11-1943,N.A
10,Get day of the week,27-8-2020 20:35:55,27-8-2020 20:35:55,8-1-2591,N.A,N.A,N.A,N.A,N.A,N.A,Saturday,N.A
10,Exit Session,27-8-2020 20:35:55,27-8-2020 20:35:55,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
11,Subtract years from date,27-8-2020 20:35:56,27-8-2020 20:35:56,32-3-2236,N.A,N.A,N.A,N.A,246,N.A,1-4-1990,N.A
11,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,24-8-2027,N.A,N.A,N.A,N.A,N.A,N.A,35,N.A
11,Subtract days from date,27-8-2020 20:35:56,27-8-2020 20:35:56,18-11-1950,N.A,450,N.A,N.A,N.A,N.A,25-8-1949,N.A
11,N.A,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
11,N.A,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Invalid Input!
11,Get date from string,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,407 MONTHS EARLIER,27-9-1986,N.A
11,Add weeks to date,27-8-2020 20:35:56,27-8-2020 20:35:56,3-2-2155,N.A,N.A,408,N.A,N.A,N.A,29-11-2162,N.A
11,Subtract years from date,27-8-2020 20:35:56,27-8-2020 20:35:56,31-12-1989,N.A,N.A,N.A,N.A,326,N.A,31-12-1663,N.A
11,Add days to date,27-8-2020 20:35:56,27-8-2020 20:35:56,13-7-1720,N.A,262,N.A,N.A,N.A,N.A,1-4-1721,N.A
11,Add days to date,27-8-2020 20:35:56,27-8-2020 20:35:56,24-11-2462,N.A,261,N.A,N.A,N.A,N.A,12-8-2463,N.A
11,Exit Session,27-8-2020 20:35:56,27-8-2020 20:35:56,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Session Exited!,N.A
12,Get day of the week,27-8-2020 20:35:56,27-8-2020 20:35:56,19-7-2771,N.A,N.A,N.A,N.A,N.A,N.A,Monday,N.A
12,Get week number,27-8-2020 20:35:56,27-8-2020 20:35:56,22-12-1880,N.A,N.A,N.A,N.A,N.A,N.A,52,N.A
